DESKTOP-FET5BBI | 2019-05-31 06:26:50 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-31 06:27:47 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 66.017 seconds (JVM running for 69.669)
DESKTOP-FET5BBI | 2019-05-31 06:34:02 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-31 06:34:46 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 48.527 seconds (JVM running for 50.559)
DESKTOP-FET5BBI | 2019-05-31 06:36:34 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-31 06:37:02 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 32.476 seconds (JVM running for 33.791)
DESKTOP-FET5BBI | 2019-05-31 06:59:45 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-31 07:00:30 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 50.3 seconds (JVM running for 52.227)
DESKTOP-FET5BBI | 2019-05-31 07:03:29 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-31 07:04:04 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 39.851 seconds (JVM running for 41.205)
DESKTOP-FET5BBI | 2019-05-31 07:06:26 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-31 07:07:05 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 43.555 seconds (JVM running for 44.794)
DESKTOP-FET5BBI | 2019-05-31 07:08:24 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-31 07:08:53 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 33.244 seconds (JVM running for 34.397)
DESKTOP-FET5BBI | 2019-05-31 07:35:15 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-31 07:35:47 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 37.27 seconds (JVM running for 39.439)
DESKTOP-FET5BBI | 2019-05-31 07:43:12 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-31 07:43:40 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 32.275 seconds (JVM running for 33.429)
DESKTOP-FET5BBI | 2019-05-31 09:05:32 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-31 09:06:21 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 53.594 seconds (JVM running for 54.748)
DESKTOP-FET5BBI | 2019-05-31 09:11:21 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-31 09:11:50 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 32.672 seconds (JVM running for 33.741)
DESKTOP-FET5BBI | 2019-05-31 10:26:01 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-31 10:26:50 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 54.312 seconds (JVM running for 55.566)
DESKTOP-FET5BBI | 2019-05-31 10:29:31 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-31 10:29:57 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 30.44 seconds (JVM running for 31.793)
DESKTOP-FET5BBI | 2019-05-31 10:30:43 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-31 10:31:14 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 35.996 seconds (JVM running for 37.041)
DESKTOP-FET5BBI | 2019-05-31 10:36:39 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-31 10:37:03 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 29.19 seconds (JVM running for 30.296)
DESKTOP-FET5BBI | 2019-05-31 10:42:03 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-31 10:42:34 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 35.659 seconds (JVM running for 36.963)
DESKTOP-FET5BBI | 2019-05-31 10:45:24 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-31 10:45:54 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 33.911 seconds (JVM running for 35.017)
DESKTOP-FET5BBI | 2019-05-31 10:52:01 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-31 10:52:38 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 41.279 seconds (JVM running for 42.671)
