DESKTOP-FET5BBI | 2019-05-26 09:16:48 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-26 09:17:16 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 32.836 seconds (JVM running for 33.901)
DESKTOP-FET5BBI | 2019-05-26 09:52:22 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-26 09:52:46 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 28.63 seconds (JVM running for 29.75)
DESKTOP-FET5BBI | 2019-05-26 10:05:24 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-26 10:05:52 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 31.791 seconds (JVM running for 32.89)
DESKTOP-FET5BBI | 2019-05-26 10:07:36 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-26 10:08:01 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 29.509 seconds (JVM running for 30.576)
DESKTOP-FET5BBI | 2019-05-26 10:11:44 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-26 10:12:08 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 27.773 seconds (JVM running for 29.012)
DESKTOP-FET5BBI | 2019-05-26 10:20:17 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-26 10:20:50 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 37.78 seconds (JVM running for 38.977)
DESKTOP-FET5BBI | 2019-05-26 10:21:55 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-26 10:22:21 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 30.649 seconds (JVM running for 31.809)
DESKTOP-FET5BBI | 2019-05-26 10:35:30 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-26 10:35:55 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 28.467 seconds (JVM running for 29.52)
DESKTOP-FET5BBI | 2019-05-26 10:40:16 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-26 10:40:40 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 27.38 seconds (JVM running for 28.438)
DESKTOP-FET5BBI | 2019-05-26 10:41:35 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-26 10:41:59 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 28.248 seconds (JVM running for 29.3)
DESKTOP-FET5BBI | 2019-05-26 10:45:45 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-26 10:46:12 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 30.688 seconds (JVM running for 31.841)
DESKTOP-FET5BBI | 2019-05-26 10:50:56 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-26 10:51:21 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 28.758 seconds (JVM running for 29.886)
DESKTOP-FET5BBI | 2019-05-26 10:53:35 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-26 10:53:59 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 29.209 seconds (JVM running for 30.302)
DESKTOP-FET5BBI | 2019-05-26 10:56:58 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-26 10:57:28 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 34.182 seconds (JVM running for 35.44)
DESKTOP-FET5BBI | 2019-05-26 11:00:07 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-26 11:00:34 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 31.291 seconds (JVM running for 32.383)
DESKTOP-FET5BBI | 2019-05-26 11:04:08 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-26 11:04:35 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 31.004 seconds (JVM running for 32.107)
DESKTOP-FET5BBI | 2019-05-26 11:09:33 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
