DESKTOP-FET5BBI | 2019-05-24 09:17:41 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-24 09:18:09 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 30.931 seconds (JVM running for 32.167)
DESKTOP-FET5BBI | 2019-05-24 09:23:20 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-24 09:23:47 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 30.182 seconds (JVM running for 31.309)
DESKTOP-FET5BBI | 2019-05-24 09:40:11 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-24 10:17:10 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-24 10:17:32 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 24.811 seconds (JVM running for 25.967)
DESKTOP-FET5BBI | 2019-05-24 10:18:13 | as.AccommodationServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-05-24 10:18:39 | as.AccommodationServiceApplication | Started AccommodationServiceApplication in 27.851 seconds (JVM running for 29.003)
